"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0002449"	"BP"	"GO:0002449"	"lymphocyte mediated immunity"	"46/1074"	"368/18870"	4.46293110176906e-07	3.64957444479497e-05	3.132761216913e-05	"WAS/SLAMF7/PTPRC/CSF2RB/IL2RB/GZMB/CD40/CORO1A/IL4I1/NKG7/GATA3/CTSC/KLRB1/CD2/CD80/CCR2/SASH3/KLRC1/HAVCR2/IL21/CD226/IL18/CD96/CD8A/BATF/FCER1G/C2/IL7R/IL12A/LGALS9/C1QB/C1QA/EXO1/CD28/SH2D1A/LILRB4/ZP3/TAP2/HLA-DRA/KLRC3/IGKC/KLRK1/EMP2/C4B/C4A/IGLL5"	46
"GO:0002285"	"BP"	"GO:0002285"	"lymphocyte activation involved in immune response"	"32/1074"	"213/18870"	4.68798458369487e-07	3.79101686668125e-05	3.25417409406188e-05	"SLC11A1/PTPRC/CD40/CORO1A/RELB/NKG7/JAK3/GATA3/POU2AF1/IFNG/PTK2B/CD80/FGL2/RARA/CD180/HAVCR2/LCP1/IRF4/IL21/IRF8/IL18/BATF/FCER1G/EOMES/CLEC4E/LGALS9/GPR183/EXO1/ZNF683/CD28/PLCG2/HLA-DRA"	32
"GO:0042113"	"BP"	"GO:0042113"	"B cell activation"	"38/1074"	"278/18870"	4.86100222884646e-07	3.88773343093896e-05	3.3371947054024e-05	"TYROBP/PTPRC/CD40/TNFSF13B/IL4I1/CD79A/JAK3/EZH2/POU2AF1/PRLR/ITGA4/TNFAIP3/PTK2B/SASH3/DNAJB9/THEMIS2/CD180/IL21/IRF8/IL2RG/DCLRE1C/BANK1/SAMSN1/BATF/SLAMF8/IKZF3/LAPTM5/VCAM1/MNDA/IL7R/GPR183/MZB1/EXO1/PTPN2/TBC1D10C/CD28/PLCG2/LYN"	38
"GO:0000280"	"BP"	"GO:0000280"	"nuclear division"	"52/1074"	"441/18870"	5.08835434949639e-07	3.98746690274291e-05	3.42280500249912e-05	"ANLN/ASPM/TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/RANBP1/MYBL2/CCNE1/NCAPG/RAD51AP1/TTK/PDGFRB/SMC4/ACTR3/CDC20/NEK2/MND1/KIF18A/CKS2/DLGAP5/KNSTRN/CCNB1/BORA/BRIP1/NUSAP1/KIF23/ACTR2/BRCA2/KIF2C/NUF2/HORMAD1/CDCA5/NFIB/MKI67/INCENP/CCNB2/NFIA/MAD2L1/PLK1/CDT1/KIFC2/BUB1/CDK1/INSR/UBE2C/CD28/CDCA2/FANCA/PRC1"	52
"GO:1903706"	"BP"	"GO:1903706"	"regulation of hemopoiesis"	"50/1074"	"417/18870"	5.09527922444477e-07	3.98746690274291e-05	3.42280500249912e-05	"TMEM176A/TYROBP/RUNX3/PRDM1/FSTL3/PTPRC/IL4I1/JAK3/CDK6/GLI3/GATA3/IFNG/STAT1/CD2/PTK2B/CD80/CCR2/SASH3/IRF1/MED1/FGL2/RARA/IL2RA/IL15RA/IRF4/SOX13/ZC3H8/IL2RG/IL18/CAMK4/UBASH3B/PRKCA/BATF/SLAMF8/IKZF3/HMGB2/IL7R/LGALS9/ROR2/PTPN2/ZNF683/P4HTM/CD28/GATA2/HCLS1/LILRB4/FANCA/HLA-DRA/LYN/CCL3"	50
"GO:0050852"	"BP"	"GO:0050852"	"T cell receptor signaling pathway"	"25/1074"	"144/18870"	5.47525629726623e-07	4.23924631186209e-05	3.63893013709687e-05	"FYN/LCP2/PTPRC/IKBKB/KCNN4/GATA3/GBP1/FCHO1/THEMIS2/PTPN22/SLC39A6/CD226/CD8A/CD3G/LAPTM5/TRAT1/CD3D/PTPN2/CD28/SH2D1A/PDE4B/LILRB4/PLCG2/CD3E/HLA-DPB1"	25
"GO:0071222"	"BP"	"GO:0071222"	"cellular response to lipopolysaccharide"	"33/1074"	"226/18870"	6.06432532327258e-07	4.64591154766082e-05	3.98800784416872e-05	"CXCL2/JAK2/MMP9/CD40/MAPK3/CCL2/TNFAIP3/CD274/CD80/CXCL6/CD68/RARA/CD180/PTPN22/CMPK2/HAVCR2/CXCL9/IRF8/PRKCA/GBP5/CXCL13/SCIMP/CXCL1/HMGB2/CXCL10/CXCL11/CXCL8/PDE4B/SIGIRR/PLCG2/CARD16/KLRK1/LYN"	33
"GO:0002688"	"BP"	"GO:0002688"	"regulation of leukocyte chemotaxis"	"23/1074"	"126/18870"	6.18759662327505e-07	4.66550518785227e-05	4.00482684512854e-05	"F7/MAPK3/CCL7/CCL2/THBS4/PADI2/PTK2B/CCR2/GPR18/RAC2/PLA2G7/CXCL13/SLAMF8/IL12A/LGALS9/CXCL10/CXCL8/AIF1/KLRK1/LYN/CCL5/CCL4/CCL3"	23
"GO:0030101"	"BP"	"GO:0030101"	"natural killer cell activation"	"20/1074"	"99/18870"	6.21810941497211e-07	4.66550518785227e-05	4.00482684512854e-05	"TYROBP/SLAMF7/PRDM1/PTPRC/JAK2/CORO1A/NKG7/GATA3/CD2/PTPN22/IL15RA/KLRC1/HAVCR2/IL18/IL12A/ZNF683/PBX1/KLRC3/KLRK1/EMP2"	20
"GO:0046637"	"BP"	"GO:0046637"	"regulation of alpha-beta T cell differentiation"	"17/1074"	"74/18870"	6.40172417615054e-07	4.75426005653303e-05	4.08101321003797e-05	"RUNX3/PRDM1/JAK3/GLI3/GATA3/IFNG/CD80/SASH3/RARA/IRF4/IL2RG/IL18/BATF/LGALS9/ZNF683/LILRB4/HLA-DRA"	17
"GO:0002703"	"BP"	"GO:0002703"	"regulation of leukocyte mediated immunity"	"35/1074"	"249/18870"	7.02364284527132e-07	5.16344167958431e-05	4.43225096083841e-05	"TYROBP/WAS/CD84/PTPRC/CD40/IL4I1/JAK3/GATA3/KLRB1/CD80/CCR2/SASH3/CXCL6/RAC2/KLRC1/HAVCR2/IL21/CD226/IL18/CD96/SCIMP/IL7R/IL12A/LGALS9/CD28/GATA2/SH2D1A/LILRB4/ZP3/PLCG2/TAP2/HLA-DRA/KLRC3/KLRK1/LYN"	35
"GO:0001776"	"BP"	"GO:0001776"	"leukocyte homeostasis"	"21/1074"	"109/18870"	7.51038058577334e-07	5.46605499032583e-05	4.69201145016471e-05	"TNFRSF17/TNFSF13B/CORO1A/JAK3/TNFAIP3/CCR2/SASH3/CXCL6/IL2RA/SKIL/SLC40A1/ZC3H8/GPR174/CCNB2/AIM2/IL7R/LGALS9/GPR183/HCAR2/PDE4B/LYN"	21
"GO:2000501"	"BP"	"GO:2000501"	"regulation of natural killer cell chemotaxis"	"6/1074"	"8/18870"	8.50425646834518e-07	6.12811669075408e-05	5.26031913909627e-05	"CCL7/CCL2/KLRK1/CCL5/CCL4/CCL3"	6
"GO:0002685"	"BP"	"GO:0002685"	"regulation of leukocyte migration"	"33/1074"	"230/18870"	9.08540910060875e-07	6.48270661119907e-05	5.56469587328307e-05	"CD9/F7/HMOX1/CORO1A/MAPK3/CCL7/CCL2/ADTRP/THBS4/CCL20/ITGA4/PADI2/PTK2B/CCR2/GPR18/RAC2/ECM1/PLA2G7/CXCL13/SLAMF8/IL12A/LGALS9/CXCL10/CXCL8/GCNT1/ZP3/CD47/AIF1/KLRK1/LYN/CCL5/CCL4/CCL3"	33
"GO:0018108"	"BP"	"GO:0018108"	"peptidyl-tyrosine phosphorylation"	"37/1074"	"276/18870"	1.10675544329041e-06	7.820355452687e-05	6.71292136528216e-05	"FYN/CD44/ERBB3/PTPRC/JAK2/CD40/MAPK3/JAK3/IFNG/THBS4/PRLR/PDGFRB/PTK2B/CD80/SNX6/IL21/IGF1R/IL18/GFRA1/BANK1/SAMSN1/LRP8/NCF1/PKDCC/IL12A/INSR/PTPN2/DOK7/YES1/HCLS1/LILRB4/HDAC2/PLCG2/CD3E/LYN/CCL5/SRCIN1"	37
"GO:0001909"	"BP"	"GO:0001909"	"leukocyte mediated cytotoxicity"	"24/1074"	"140/18870"	1.16246505508726e-06	8.1350198758895e-05	6.98302641897054e-05	"TYROBP/SLAMF7/PTPRC/GZMB/CORO1A/NKG7/CTSC/KLRB1/CD2/CXCL6/KLRC1/HAVCR2/IL21/CD226/IL18/IL7R/IL12A/LGALS9/SH2D1A/TAP2/HLA-DRA/KLRC3/KLRK1/EMP2"	24
"GO:0032753"	"BP"	"GO:0032753"	"positive regulation of interleukin-4 production"	"10/1074"	"27/18870"	1.18547919674505e-06	8.21706437515287e-05	7.05345266434276e-05	"GATA3/SASH3/RARA/HAVCR2/IRF4/FCER1G/LGALS9/CD28/ZP3/CD3E"	10
"GO:0051983"	"BP"	"GO:0051983"	"regulation of chromosome segregation"	"23/1074"	"131/18870"	1.25808922333183e-06	8.63808808246136e-05	7.4148555516131e-05	"RAD18/TRIP13/BIRC5/NCAPG/TTK/SMC4/CDC20/DLGAP5/CCNB1/KIF2C/NUF2/HORMAD1/MKI67/INCENP/MAD2L1/PLK1/BUB1/CDK1/UBE2C/RMI2/CDCA2/PLSCR1/SMC5"	23
"GO:0001906"	"BP"	"GO:0001906"	"cell killing"	"32/1074"	"223/18870"	1.31969583757082e-06	8.89540817729357e-05	7.63573675998863e-05	"TYROBP/SLAMF7/PTPRC/LYZ/GZMB/CORO1A/NKG7/CTSC/IFNG/GAPDH/KLRB1/GNLY/CD2/GBP1/CXCL6/KLRC1/HAVCR2/IL21/GZMA/CD226/IL18/GBP5/S100A12/IL7R/IL12A/LGALS9/SH2D1A/TAP2/HLA-DRA/KLRC3/KLRK1/EMP2"	32
"GO:0018212"	"BP"	"GO:0018212"	"peptidyl-tyrosine modification"	"37/1074"	"278/18870"	1.32001110627605e-06	8.89540817729357e-05	7.63573675998863e-05	"FYN/CD44/ERBB3/PTPRC/JAK2/CD40/MAPK3/JAK3/IFNG/THBS4/PRLR/PDGFRB/PTK2B/CD80/SNX6/IL21/IGF1R/IL18/GFRA1/BANK1/SAMSN1/LRP8/NCF1/PKDCC/IL12A/INSR/PTPN2/DOK7/YES1/HCLS1/LILRB4/HDAC2/PLCG2/CD3E/LYN/CCL5/SRCIN1"	37
"GO:2000514"	"BP"	"GO:2000514"	"regulation of CD4-positive, alpha-beta T cell activation"	"17/1074"	"78/18870"	1.41047299677202e-06	9.4178187802814e-05	8.08416922823941e-05	"RUNX3/JAK3/GATA3/IFNG/CD274/CD80/SASH3/RARA/IL2RA/IRF4/IL2RG/IL18/BATF/LGALS9/CD28/CD3E/HLA-DRA"	17
"GO:0002228"	"BP"	"GO:0002228"	"natural killer cell mediated immunity"	"17/1074"	"79/18870"	1.70295851415489e-06	0.000112673927872903	9.67182658517636e-05	"SLAMF7/GZMB/CORO1A/NKG7/KLRB1/CD2/KLRC1/HAVCR2/IL21/CD226/IL18/CD96/IL12A/LGALS9/SH2D1A/KLRC3/KLRK1"	17
"GO:1902850"	"BP"	"GO:1902850"	"microtubule cytoskeleton organization involved in mitosis"	"26/1074"	"163/18870"	1.7474702191768e-06	0.000114577371668187	9.83521645406762e-05	"PAX6/PKD1/TPX2/BIRC5/KIF4A/MISP/MYBL2/TTK/CENPA/CDC20/NEK2/STIL/DLGAP5/CCNB1/BORA/NUSAP1/KIF23/NUF2/INCENP/GJA1/CENPH/MAD2L1/PLK1/KIFC2/CDK1/PRC1"	26
"GO:0002548"	"BP"	"GO:0002548"	"monocyte chemotaxis"	"16/1074"	"71/18870"	1.79043575671183e-06	0.000116346352119185	9.98706411286159e-05	"CCL17/CCL7/CCL2/CCL8/CCL20/CCR2/PLA2G7/SLAMF8/S100A12/CXCL10/AIF1/LYN/CCL5/CCL4/CCL18/CCL3"	16
"GO:0045088"	"BP"	"GO:0045088"	"regulation of innate immune response"	"49/1074"	"425/18870"	2.06930341741333e-06	0.000133277790017117	0.000114404432066587	"FYN/TYROBP/BIRC3/EIF2AK2/OAS1/ESR1/CD40/IKBKB/KLRB1/IFIH1/TNFAIP3/NMI/ZBP1/IRF1/MED1/APOE/SMPDL3B/PTPN22/KLRC1/HAVCR2/IRF4/IL21/LYAR/CD226/CD96/OTULIN/GBP5/PIK3AP1/LRP8/NCF1/SLAMF8/SCIMP/CTSS/MNDA/IFI16/AIM2/HMGB2/CLEC4E/IL12A/LGALS9/PTPN2/SH2D1A/PLSCR1/PLCG2/KLRC3/KLRK1/LYN/MMP12/CCL5"	49
"GO:0071219"	"BP"	"GO:0071219"	"cellular response to molecule of bacterial origin"	"33/1074"	"239/18870"	2.16417286248723e-06	0.000136876692746186	0.000117493697147657	"CXCL2/JAK2/MMP9/CD40/MAPK3/CCL2/TNFAIP3/CD274/CD80/CXCL6/CD68/RARA/CD180/PTPN22/CMPK2/HAVCR2/CXCL9/IRF8/PRKCA/GBP5/CXCL13/SCIMP/CXCL1/HMGB2/CXCL10/CXCL11/CXCL8/PDE4B/SIGIRR/PLCG2/CARD16/KLRK1/LYN"	33
"GO:0019882"	"BP"	"GO:0019882"	"antigen processing and presentation"	"21/1074"	"116/18870"	2.16691742535364e-06	0.000136876692746186	0.000117493697147657	"WAS/SLC11A1/RAB10/IKBKB/RELB/FGL2/CD68/CTSL/CD8A/FCER1G/CTSS/RAB8B/TAP1/CTSF/PSMB8/TAP2/HLA-DRA/IFI30/HLA-DPB1/HLA-DPA1/HLA-DOB"	21
"GO:0050766"	"BP"	"GO:0050766"	"positive regulation of phagocytosis"	"16/1074"	"72/18870"	2.18160158815025e-06	0.000136876692746186	0.000117493697147657	"SLC11A1/PTPRC/IL2RB/CCL2/IFNG/IL15RA/LYAR/IL2RG/FCER1G/APOA2/C2/GATA2/CD47/PLCG2/C4B/C4A"	16
"GO:2000403"	"BP"	"GO:2000403"	"positive regulation of lymphocyte migration"	"12/1074"	"42/18870"	2.44784848361105e-06	0.000152268728749754	0.000130706079624216	"CORO1A/CCL7/CCL20/ITGA4/PTK2B/CCR2/CXCL13/CXCL10/AIF1/CCL5/CCL4/CCL3"	12
"GO:0071677"	"BP"	"GO:0071677"	"positive regulation of mononuclear cell migration"	"16/1074"	"73/18870"	2.64789633505282e-06	0.00016331686039419	0.000140189694456186	"CORO1A/CCL7/CCL20/ITGA4/PTK2B/CCR2/PLA2G7/CXCL13/IL12A/LGALS9/CXCL10/CD47/AIF1/CCL5/CCL4/CCL3"	16
"GO:0002833"	"BP"	"GO:0002833"	"positive regulation of response to biotic stimulus"	"44/1074"	"369/18870"	2.82761717497496e-06	0.000172936115961914	0.000148446775174493	"FYN/TYROBP/BIRC3/EIF2AK2/OAS1/ESR1/CD40/IKBKB/IFIH1/TNFAIP3/CD274/NMI/ZBP1/IRF1/MED1/SMPDL3B/CD180/PTPN22/KLRC1/HAVCR2/IRF4/IL21/CD226/OTULIN/PRKCA/GBP5/PIK3AP1/SCIMP/CTSS/MNDA/IFI16/AIM2/HMGB2/CLEC4E/IL12A/MMRN2/SH2D1A/PLSCR1/PLCG2/KLRC3/KLRK1/LYN/MMP12/CCL5"	44
"GO:0050731"	"BP"	"GO:0050731"	"positive regulation of peptidyl-tyrosine phosphorylation"	"26/1074"	"168/18870"	3.11713433844701e-06	0.000189005728876412	0.000162240783454318	"FYN/CD44/ERBB3/PTPRC/JAK2/CD40/IFNG/THBS4/PTK2B/CD80/IL21/IL18/GFRA1/BANK1/LRP8/NCF1/IL12A/DOK7/YES1/HCLS1/HDAC2/PLCG2/CD3E/LYN/CCL5/SRCIN1"	26
"GO:0050920"	"BP"	"GO:0050920"	"regulation of chemotaxis"	"32/1074"	"232/18870"	3.1423046433149e-06	0.000189005728876412	0.000162240783454318	"SEMA3F/SEMA3G/SEMA3B/F7/MAPK3/HSPB1/CCL7/CCL2/SMOC2/THBS4/PDGFRB/PADI2/PTK2B/CCR2/GPR18/RAC2/PLA2G7/CXCL13/SLAMF8/IL12A/LGALS9/CXCL10/CXCL8/GPR183/ROBO1/PTPN2/AIF1/KLRK1/LYN/CCL5/CCL4/CCL3"	32
"GO:0071706"	"BP"	"GO:0071706"	"tumor necrosis factor superfamily cytokine production"	"28/1074"	"191/18870"	3.9157803369576e-06	0.000231699587742906	0.000198888800169819	"TYROBP/IFNGR1/CD84/PTPRC/OAS1/JAK2/HSPB1/IFNG/FXR1/IFIH1/CD2/TNFAIP3/CD274/CCR2/SASH3/GPR18/RARA/PTPN22/HAVCR2/CYBB/LGALS9/LILRB4/HDAC2/CD47/PLCG2/UBE2J1/ORM1/CCL3"	28
"GO:1903555"	"BP"	"GO:1903555"	"regulation of tumor necrosis factor superfamily cytokine production"	"28/1074"	"191/18870"	3.9157803369576e-06	0.000231699587742906	0.000198888800169819	"TYROBP/IFNGR1/CD84/PTPRC/OAS1/JAK2/HSPB1/IFNG/FXR1/IFIH1/CD2/TNFAIP3/CD274/CCR2/SASH3/GPR18/RARA/PTPN22/HAVCR2/CYBB/LGALS9/LILRB4/HDAC2/CD47/PLCG2/UBE2J1/ORM1/CCL3"	28
"GO:0050864"	"BP"	"GO:0050864"	"regulation of B cell activation"	"22/1074"	"130/18870"	3.99585929487109e-06	0.000234531160871547	0.000201319396562478	"TYROBP/PTPRC/CD40/TNFSF13B/IL4I1/PRLR/TNFAIP3/SASH3/THEMIS2/IL21/IL2RG/BANK1/SAMSN1/SLAMF8/IKZF3/LAPTM5/MNDA/GPR183/MZB1/TBC1D10C/CD28/LYN"	22
"GO:0002292"	"BP"	"GO:0002292"	"T cell differentiation involved in immune response"	"17/1074"	"84/18870"	4.1590025574914e-06	0.000242153764907379	0.000207862569925991	"RELB/JAK3/GATA3/IFNG/CD80/FGL2/RARA/IRF4/IL21/IL18/BATF/FCER1G/EOMES/CLEC4E/LGALS9/GPR183/HLA-DRA"	17
"GO:0043367"	"BP"	"GO:0043367"	"CD4-positive, alpha-beta T cell differentiation"	"18/1074"	"93/18870"	4.26967394522227e-06	0.000246624499788315	0.000211700207726768	"RUNX3/RELB/JAK3/GATA3/IFNG/CD80/SASH3/RARA/CTSL/IRF4/IL21/ARMC5/IL2RG/IL18/BATF/LGALS9/GPR183/HLA-DRA"	18
"GO:0000819"	"BP"	"GO:0000819"	"sister chromatid segregation"	"31/1074"	"225/18870"	4.56275960112797e-06	0.000261478459661491	0.000224450710590091	"TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/MYBL2/NCAPG/TTK/SMC4/CDC20/NEK2/KIF18A/DLGAP5/KNSTRN/CCNB1/NUSAP1/KIF23/KIF2C/NUF2/CDCA5/INCENP/MAD2L1/PLK1/CDT1/KIFC2/BUB1/CDK1/UBE2C/RMI2/PRC1"	31
"GO:0042267"	"BP"	"GO:0042267"	"natural killer cell mediated cytotoxicity"	"16/1074"	"76/18870"	4.63064116975404e-06	0.000262318876533621	0.000225172116721922	"SLAMF7/GZMB/CORO1A/NKG7/KLRB1/CD2/KLRC1/HAVCR2/IL21/CD226/IL18/IL12A/LGALS9/SH2D1A/KLRC3/KLRK1"	16
"GO:0050727"	"BP"	"GO:0050727"	"regulation of inflammatory response"	"48/1074"	"425/18870"	4.64951017763631e-06	0.000262318876533621	0.000225172116721922	"FYN/BIRC3/PTPRC/C1QTNF3/ESR1/JAK2/MMP9/NKG7/PIK3CG/GATA3/CTSC/IFNG/LPCAT3/FXR1/TNFAIP3/CCR2/NMI/ZBP1/APOE/SMPDL3B/IDO1/TRIM45/IL2RA/IL21/S100A8/PLA2G7/IL18/OTULIN/PIK3AP1/NCF1/SLAMF8/S100A9/S100A12/AIM2/PBK/PTPN2/YES1/CD28/SHARPIN/FANCA/ZP3/CD47/CASP4/PLCG2/CARD16/LYN/CCL5/CCL3"	48
"GO:0048285"	"BP"	"GO:0048285"	"organelle fission"	"53/1074"	"488/18870"	4.79477917527683e-06	0.000268433867982037	0.000230421169273425	"ANLN/ASPM/TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/RANBP1/MYBL2/CCNE1/NCAPG/RAD51AP1/TTK/PDGFRB/SMC4/ACTR3/CDC20/NEK2/MND1/KIF18A/CKS2/DLGAP5/KNSTRN/CCNB1/BORA/BRIP1/NUSAP1/KIF23/ACTR2/BRCA2/KIF2C/NUF2/HORMAD1/CDCA5/NFIB/MKI67/INCENP/CCNB2/NFIA/MAD2L1/PLK1/CDT1/KIFC2/BUB1/CDK1/INSR/UBE2C/CD28/CDCA2/MAPT/FANCA/PRC1"	53
"GO:0002260"	"BP"	"GO:0002260"	"lymphocyte homeostasis"	"16/1074"	"77/18870"	5.53989045405551e-06	0.000307781089500886	0.000264196463196621	"TNFRSF17/TNFSF13B/CORO1A/JAK3/TNFAIP3/SASH3/IL2RA/SKIL/SLC40A1/ZC3H8/GPR174/CCNB2/AIM2/IL7R/LGALS9/LYN"	16
"GO:0007259"	"BP"	"GO:0007259"	"receptor signaling pathway via JAK-STAT"	"26/1074"	"174/18870"	6.02538597201896e-06	0.000332217872002682	0.000285172773077612	"PKD1/FYN/PTPRC/JAK2/CSF2RB/CD40/JAK3/CCL2/IFNG/PRLR/STAT1/PTK2B/CCR2/NMI/IL15RA/IL21/IL18/IFNAR2/IL7R/IL12A/PTPN2/CRLF3/HCLS1/HDAC2/LYN/CCL5"	26
"GO:0032640"	"BP"	"GO:0032640"	"tumor necrosis factor production"	"27/1074"	"186/18870"	6.98472996991167e-06	0.000379364662097143	0.000325643145101538	"TYROBP/IFNGR1/CD84/PTPRC/OAS1/JAK2/HSPB1/IFNG/FXR1/IFIH1/CD2/TNFAIP3/CCR2/SASH3/GPR18/RARA/PTPN22/HAVCR2/CYBB/LGALS9/LILRB4/HDAC2/CD47/PLCG2/UBE2J1/ORM1/CCL3"	27
"GO:0032680"	"BP"	"GO:0032680"	"regulation of tumor necrosis factor production"	"27/1074"	"186/18870"	6.98472996991167e-06	0.000379364662097143	0.000325643145101538	"TYROBP/IFNGR1/CD84/PTPRC/OAS1/JAK2/HSPB1/IFNG/FXR1/IFIH1/CD2/TNFAIP3/CCR2/SASH3/GPR18/RARA/PTPN22/HAVCR2/CYBB/LGALS9/LILRB4/HDAC2/CD47/PLCG2/UBE2J1/ORM1/CCL3"	27
"GO:0032760"	"BP"	"GO:0032760"	"positive regulation of tumor necrosis factor production"	"19/1074"	"106/18870"	7.59197829174568e-06	0.000409291985239445	0.000351332484690141	"TYROBP/IFNGR1/CD84/PTPRC/OAS1/JAK2/HSPB1/IFNG/IFIH1/CD2/CCR2/SASH3/HAVCR2/CYBB/LGALS9/HDAC2/PLCG2/ORM1/CCL3"	19
"GO:0007162"	"BP"	"GO:0007162"	"negative regulation of cell adhesion"	"38/1074"	"312/18870"	8.12237682360514e-06	0.000434666606780869	0.000373113826997651	"CD9/RUNX3/ERBB3/PAG1/PTPRC/JAK2/IL4I1/JAK3/GLI3/GTPBP4/COL1A1/LPXN/GCNT2/ADTRP/GBP1/CD274/CD80/IRF1/FGL2/IDO1/ADAMDEC1/PTPN22/IL2RA/HAVCR2/LRRC32/RDX/HSPG2/ZC3H8/CDKN2A/DLG5/PDE3B/UBASH3B/LAPTM5/LGALS9/PTPN2/MUC1/LILRB4/MMP12"	38
"GO:0097696"	"BP"	"GO:0097696"	"receptor signaling pathway via STAT"	"27/1074"	"188/18870"	8.54622572883861e-06	0.000454010444193339	0.000389718399544043	"PKD1/FYN/PTPRC/JAK2/CSF2RB/CD40/JAK3/CCL2/IFNG/PRLR/STAT1/PTK2B/CCR2/NMI/IL15RA/IL21/IL18/IFNAR2/IL7R/IL12A/PTPN2/CRLF3/HCLS1/PTPRT/HDAC2/LYN/CCL5"	27
"GO:0042063"	"BP"	"GO:0042063"	"gliogenesis"	"40/1074"	"338/18870"	9.49361783123347e-06	0.0005006851490994	0.000429783537973842	"PAX6/CD9/PRKCH/IFNGR1/GPC1/ERBB3/PHGDH/MAPK3/METRN/NDRG1/CDK6/EZH2/GLI3/ABCA2/CCL2/IFNG/PTK2B/CCR2/EGR2/MBOAT7/ANO1/RRAS2/HAPLN3/S100A8/SOX13/NFIB/LRP8/MXRA8/NFIA/S100A9/EOMES/ROR2/GPR183/CDK1/LAMB2/C1QA/MAPT/HDAC2/LYN/CCL3"	40
"GO:0002478"	"BP"	"GO:0002478"	"antigen processing and presentation of exogenous peptide antigen"	"11/1074"	"40/18870"	9.67722793786762e-06	0.000506696870012953	0.000434943944045773	"IKBKB/CTSL/FCER1G/CTSS/CTSF/TAP2/HLA-DRA/IFI30/HLA-DPB1/HLA-DPA1/HLA-DOB"	11
"GO:0007088"	"BP"	"GO:0007088"	"regulation of mitotic nuclear division"	"20/1074"	"118/18870"	1.05818163330712e-05	0.000550103280514947	0.000472203608547202	"TRIP13/BIRC5/TTK/PDGFRB/CDC20/NEK2/DLGAP5/CCNB1/BORA/NUSAP1/NUF2/MKI67/INCENP/MAD2L1/PLK1/BUB1/INSR/UBE2C/CD28/CDCA2"	20
"GO:0010818"	"BP"	"GO:0010818"	"T cell chemotaxis"	"9/1074"	"27/18870"	1.11769685882135e-05	0.000573779697701705	0.000492527227818461	"PIK3CG/CCR2/CXCL13/CXCL16/CXCL10/CXCL11/GPR183/CCL5/CCL3"	9
"GO:0051347"	"BP"	"GO:0051347"	"positive regulation of transferase activity"	"46/1074"	"414/18870"	1.11949322717288e-05	0.000573779697701705	0.000492527227818461	"PKD1/SLC11A1/LCP2/ERBB3/PTPRC/TPX2/JAK2/CD40/EEF1A2/MAPK3/TNFRSF10A/PIK3CG/EZH2/CCND1/IFNG/PRLR/SKP1/PDGFRB/ECT2/CDC20/NEK2/PTK2B/APOE/DKC1/PCNA/CHI3L1/BORA/IGF1R/CARD14/IL18/LRP8/NCF1/APOA2/S100A12/RFC4/PLK1/IRS1/ROR2/ROBO1/INSR/UBE2C/DOK7/MAPT/EMP2/CCL5/SRCIN1"	46
"GO:0006959"	"BP"	"GO:0006959"	"humoral immune response"	"33/1074"	"258/18870"	1.13885505508553e-05	0.000579621474888985	0.00049754175575507	"SLC11A1/CXCL2/PTPRC/LYZ/GATA3/CCL2/POU2AF1/IFNG/GAPDH/GNLY/CCR2/CXCL6/CXCL9/CXCL14/CXCL13/S100A9/S100A12/CXCL1/C2/CXCL10/CXCL11/CXCL8/GPR183/C1QB/C1QA/EXO1/CD28/SH2D1A/ZP3/CFD/PSMB10/C4B/C4A"	33
"GO:0043370"	"BP"	"GO:0043370"	"regulation of CD4-positive, alpha-beta T cell differentiation"	"13/1074"	"56/18870"	1.16987377835918e-05	0.000591273705479037	0.000507543923579076	"RUNX3/JAK3/GATA3/IFNG/CD80/SASH3/RARA/IRF4/IL2RG/IL18/BATF/LGALS9/HLA-DRA"	13
"GO:0072678"	"BP"	"GO:0072678"	"T cell migration"	"15/1074"	"73/18870"	1.24786895950776e-05	0.000626344157744654	0.000537648078016592	"CORO1A/PIK3CG/CCL2/CCL20/ITGA4/CCR2/ECM1/CXCL13/CXCL16/CXCL10/CXCL11/GPR183/AIF1/CCL5/CCL3"	15
"GO:1903557"	"BP"	"GO:1903557"	"positive regulation of tumor necrosis factor superfamily cytokine production"	"19/1074"	"110/18870"	1.32138943924359e-05	0.000657513728406788	0.000564403751478036	"TYROBP/IFNGR1/CD84/PTPRC/OAS1/JAK2/HSPB1/IFNG/IFIH1/CD2/CCR2/SASH3/HAVCR2/CYBB/LGALS9/HDAC2/PLCG2/ORM1/CCL3"	19
"GO:0006909"	"BP"	"GO:0006909"	"phagocytosis"	"31/1074"	"237/18870"	1.32803679686449e-05	0.000657513728406788	0.000564403751478036	"FYN/TYROBP/SLC11A1/PTPRC/SH3BP1/IL2RB/CORO1A/CCL2/IFNG/CCR2/TMEM175/RARA/IL15RA/ANXA3/IRF8/PIP5K1A/LYAR/IL2RG/FCER1G/APOA2/ARHGAP25/C2/YES1/GATA2/PLSCR1/CD47/PLCG2/AIF1/C4B/C4A/LYN"	31
